year,major,percent
2011,Computer Systems Engineering,0.12213740458015267
2011,Computer Science (BA),0.15186915887850466
2011,Electrical Engineering,0.12122421823020625
2011,Computer Information Systems,0.21577380952380953
2011,Mechanical Engineering,0.1278729905672911
2011,Applied Engineering Sciences,0.22253521126760564
2011,Information Science,0.23209169054441262
2011,Game Design,0.08264462809917356
2011,Information Assurance/Cybersecurity,0.1346153846153846
2011,General Engineering,0.21333333333333335
2011,Computer Science,0.12148499210110585
2011,Chemical Engineering,0.22210743801652894
2011,Aerospace Engineering,0.17472474868358065
2011,Management Information Systems,0.22916666666666666
2011,Systems Engineering,0.2222222222222222
2011,Web Design ,0.59375
2011,Engineering Technology,0.11796581909128803
2011,Computer Science + X,0.2083000798084597
2011,Informatics,0.17656765676567657
2011,Industrial Distribution,0.16605839416058393
2011,Information Technology,0.10891089108910891
2011,Civil Engineering,0.18045112781954886
2011,Computational Biology,0.6363636363636364
2011,Biosystems Engineering,0.4116222760290557
2011,CS and/or Eng Multiple Majors (data submitted in aggregation),0.1565123789020452
2011,Electrical and Computer Engineering,0.13817567567567568
2011,Computer Software and Media Applications,0.22996515679442509
2011,Applied Information Technology,0.17907081641858366
2011,Electrical, Electronics and Communications Engineering,0.1382488479262673
2011,Software Engineering,0.07692307692307693
2011,Computer Engineering,0.1051230871590153
2011,Electrical & Computer Engineering,0.17032967032967034
2011,Computer Science (BS),0.11761835041483651
2011,Materials Science and Engineering,0.2756756756756757
2004,Computer Science (BA),0.15625
2004,Networking,0.04602510460251046
2004,Electrical Engineering,0.10067114093959731
2004,Computer Information Systems,0.3055555555555556
2004,Mechanical Engineering,0.11433649289099526
2004,Information Science,0.21341463414634146
2004,Computer Science,0.1328623518687329
2004,Computer Science + X,0.18604651162790697
2004,Information Technology,0.1094257854821235
2004,Civil Engineering,0.19776119402985073
2004,CS and/or Eng Multiple Majors (data submitted in aggregation),0.12
2004,Computer Science / Engineering,0.08994197292069632
2004,Computer Engineering,0.13002364066193853
2004,Electrical & Computer Engineering,0.1804949053857351
2004,Computer Science (BS),0.12
2006,Computer Science (BA),0.1411764705882353
2006,Networking,0.03713527851458886
2006,Electrical Engineering,0.10671067106710672
2006,Computer Information Systems,0.16279069767441862
2006,Mechanical Engineering,0.09917590224495595
2006,Information Science,0.17777777777777778
2006,Computer Science,0.12262859378055936
2006,Management Information Systems,0.2361111111111111
2006,Engineering Technology,0.07567567567567568
2006,Computer Science + X,0.08333333333333333
2006,Informatics,0.14444444444444443
2006,Industrial Distribution,0.213768115942029
2006,Information Technology,0.10497981157469717
2006,Civil Engineering,0.22690437601296595
2006,Bioinformatics,0.3333333333333333
2006,Electrcal & Computer Engineering,0.2078804347826087
2006,CS and/or Eng Multiple Majors (data submitted in aggregation),0.13552132172359901
2006,Computer Science / Engineering,0.06338028169014084
2006,Software Engineering,0.061224489795918366
2006,Computer Engineering,0.072
2006,Computer Science (BS),0.13636363636363635
2003,Electrical Engineering,0.10552763819095477
2003,Computer Information Systems,0.25806451612903225
2003,Mechanical Engineering,0.11223842739378567
2003,Computer Science,0.16182572614107885
2003,Civil Engineering,0.22709163346613545
2003,CS and/or Eng Multiple Majors (data submitted in aggregation),0.14952561669829223
2003,Computer Engineering,0.17630057803468208
2003,Electrical & Computer Engineering,0.19386331938633194
2010,Computer Systems Engineering,0.1044776119402985
2010,Computer Science (BA),0.17027027027027028
2010,Electrical Engineering,0.12430323299888517
2010,Computer Information Systems,0.15458015267175573
2010,Mechanical Engineering,0.12798311990686845
