Institution,Class Year Start,Male Freshmen,Male Sophomores,Male Juniors,Male Seniors,Female Freshmen,Female Sophomores,Female Juniors,Female Seniors
54,2005,104,75,75,47,6,4,6,3
54,2006,163,84,82,43,15,12,9,5
54,2007,175,98,92,0,14,9,5,0
54,2008,119,95,0,0,12,9,0,0
115,2010,93,93,163,0,27,13,26,0
115,2011,108,108,145,0,19,14,17,0
115,2012,123,122,184,0,26,18,20,0
216,2011,13,15,14,11,3,5,5,5
216,2012,13,11,11,13,3,3,3,3
6,2013,164,169,191,0,20,27,32,0
205,2010,20,26,37,0,15,17,14,0
205,2011,29,38,42,0,13,15,13,0
205,2012,17,30,37,0,9,9,9,0
205,2013,33,33,27,0,9,9,10,0
249,2011,65,64,141,0,10,5,23,0
249,2012,55,78,151,0,9,11,22,0
64,2001,378,322,270,0,40,37,31,0
64,2002,299,242,0,0,29,19,0,0
64,2003,225,0,0,0,25,0,0,0
46,2011,13,13,22,0,5,3,4,0
46,2012,11,17,37,0,2,2,9,0
179,2006,9,35,24,0,9,2,1,0
179,2007,41,21,24,0,7,3,2,0
179,2008,54,34,19,0,5,0,2,0
179,2009,64,28,27,0,1,1,1,0
114,2006,3,0,0,0,2,0,0,0
487,2006,130,92,76,0,23,10,9,0
487,2007,145,81,76,0,17,5,7,0
487,2008,109,88,93,0,10,3,5,0
487,2009,116,83,64,0,15,9,6,0
487,2010,101,82,85,0,16,15,10,0
487,2011,146,111,109,0,21,15,13,0
487,2012,186,144,139,0,25,19,20,0
194,2009,91,47,36,0,10,5,1,0
194,2010,77,49,42,0,12,3,5,0
194,2011,76,63,44,0,8,5,6,0
194,2012,68,43,43,0,7,3,4,0
194,2013,80,59,49,0,3,3,1,0
330,2012,33,32,35,0,5,3,7,0
489,2010,66,61,44,41,4,3,5,0
489,2011,57,58,56,37,8,11,10,4
489,2012,76,76,74,52,6,4,5,8
373,2010,41,39,40,0,5,3,3,0
373,2011,42,42,37,0,9,6,6,0
373,2012,57,56,38,0,6,6,7,0
373,2013,73,59,57,0,13,7,9,0
29,2004,63,28,22,0,31,14,11,0
29,2005,50,24,19,0,20,9,6,0
29,2006,57,20,0,0,23,8,0,0
29,2007,53,0,0,0,22,0,0,0
238,2010,25,19,32,0,7,5,5,0
238,2011,39,30,37,0,6,5,9,0
238,2012,44,33,45,0,9,6,3,0
388,2008,106,98,114,104,7,8,12,4
388,2009,86,105,120,102,4,9,11,10
388,2010,92,118,129,163,13,14,14,15
388,2011,97,120,144,0,13,15,19,0
72,2013,52,0,0,0,6,0,0,0
110,2009,111,127,148,0,21,14,18,0
110,2010,127,156,166,0,16,22,20,0
110,2011,139,181,197,0,17,23,20,0
110,2012,130,194,182,0,20,30,28,0
88,2010,267,199,294,0,33,30,44,0
88,2011,255,228,277,0,25,28,45,0
88,2012,254,212,321,0,31,29,47,0
88,2013,295,250,321,0,41,41,47,0
430,2003,128,106,159,0,18,14,18,0
430,2004,131,94,93,0,15,8,7,0
430,2005,93,82,0,0,22,15,0,0
430,2006,114,0,0,0,25,0,0,0
430,2010,131,142,325,0,32,37,60,0
430,2011,149,230,497,0,33,49,91,0
302,2008,127,109,115,4,17,16,12,0
302,2009,131,105,105,2,20,19,11,1
302,2010,146,99,129,0,14,13,14,0
302,2011,140,111,170,0,17,20,25,0
302,2012,195,145,130,0,34,28,26,0
361,2008,128,103,127,0,12,11,15,0
361,2009,119,101,148,0,10,9,13,0
361,2010,100,104,163,0,13,12,18,0
361,2011,133,147,211,0,8,15,20,0
182,2010,36,45,61,29,6,8,11,9
182,2011,41,52,61,28,9,8,8,7
182,2012,57,65,75,29,4,7,10,10
157,2011,4,4,6,0,1,3,2,0
157,2012,4,7,13,0,1,1,3,0
157,2013,12,16,19,0,1,4,8,0
146,2010,32,28,34,0,4,4,7,0
146,2011,58,42,49,0,6,8,7,0
146,2012,74,61,53,0,7,3,5,0
336,2011,2,14,89,0,1,2,12,0
128,2004,111,64,73,0,8,4,10,0
128,2005,143,79,81,0,8,1,3,0
128,2006,138,80,89,0,9,7,7,0
128,2007,109,81,84,0,1,3,5,0
128,2008,105,60,84,0,5,5,6,0
128,2009,139,60,96,0,19,13,12,0
128,2010,142,85,109,0,8,5,10,0
128,2011,120,75,101,0,10,4,6,0
38,2011,56,81,135,0,6,18,37,0
13,2008,110,114,102,8,23,22,16,1
13,2009,118,84,95,16,17,16,18,5
13,2010,120,103,127,0,19,14,23,0
13,2011,139,116,0,0,18,14,0,0
422,2005,36,49,53,0,15,18,16,0
422,2006,31,59,71,0,12,20,21,0
422,2007,33,64,74,0,7,17,16,0
422,2008,33,46,52,0,17,15,17,0
422,2009,55,66,83,0,16,21,21,0
422,2010,40,60,87,0,17,31,43,0
422,2011,56,86,107,0,11,19,38,0
422,2012,68,93,107,0,29,29,35,0
422,2013,69,98,133,0,26,82,57,0
493,2010,139,223,339,0,24,26,53,0
493,2011,190,319,408,0,42,68,99,0
493,2012,220,373,411,0,46,81,97,0
493,2013,218,277,357,0,49,66,72,0
287,2003,9,18,27,0,2,2,5,0
287,2005,3,24,32,0,1,5,8,0
287,2006,11,27,33,0,2,3,4,0
287,2011,13,29,40,0,2,6,11,0
287,2012,9,39,57,0,1,6,11,0
287,2013,5,35,53,0,2,5,7,0
462,2004,45,47,72,0,3,2,3,0
75,2011,3,3,4,3,2,1,1,0
75,2012,9,8,7,1,1,0,0,0
75,2013,13,8,10,1,5,3,2,0
412,2009,55,0,16,0,13,0,7,0
412,2011,21,0,0,0,1,0,0,0
324,2010,28,48,67,0,6,11,10,0
324,2011,19,54,55,0,1,8,10,0
324,2012,21,51,63,0,4,6,14,0
324,2013,14,38,53,0,2,7,7,0
